N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"73,300","2,000",+2.81%,100,"4,375,851","5,969,783",52.14,"21,051,150",14.21,9.99,
2,LG에너지솔루션,"450,000","55,000",-10.89%,500,"1,053,000","234,000",4.26,"4,505,743",305.08,N/A,
3,SK하이닉스,"120,500","7,000",+6.17%,"5,000","877,243","728,002",49.61,"4,714,259",10.89,9.53,
4,삼성전자우,"66,300",700,+1.07%,100,"545,574","822,887",74.90,"1,964,648",12.85,N/A,
5,NAVER,"310,000","7,000",+2.31%,100,"508,552","164,049",55.19,"970,190",3.07,15.22,
6,삼성바이오로직스,"739,000","27,000",+3.79%,"2,500","488,959","66,165",10.71,"169,716",119.12,N/A,
7,LG화학,"639,000","29,000",+4.75%,"5,000","451,085","70,592",49.11,"515,989",16.65,2.93,
8,현대차,"189,500","3,000",+1.61%,"5,000","404,901","213,668",28.07,"1,409,376",9.60,2.04,
9,삼성SDI,"584,000","10,000",-1.68%,"5,000","401,585","68,765",45.03,"871,256",36.63,4.54,
10,카카오,"85,000","2,400",+2.91%,100,"379,020","445,906",28.75,"2,943,023",33.46,2.70,
11,기아,"82,000","2,900",+3.67%,"5,000","332,398","405,363",35.21,"1,892,292",7.43,5.05,
12,KB금융,"59,500","1,500",+2.59%,"5,000","247,406","415,808",71.15,"1,506,614",5.69,8.53,
13,POSCO,"265,000","7,500",+2.91%,"5,000","231,045","87,187",52.63,"329,676",3.97,3.61,
14,현대모비스,"232,000","5,000",+2.20%,"5,000","219,410","94,573",34.33,"317,401",9.34,4.66,
15,LG전자,"127,500","3,500",+2.82%,"5,000","208,651","163,648",28.86,"1,039,738",18.40,13.23,
16,셀트리온,"151,000","3,500",+2.37%,"1,000","208,300","137,947",20.67,"785,248",38.42,16.68,
17,삼성물산,"107,000","5,500",+5.42%,100,"199,969","186,887",15.58,"393,211",12.17,3.81,
18,SK이노베이션,"216,000",500,+0.23%,"5,000","199,726","92,466",24.16,"1,501,853","-6,352.94",-13.58,
19,신한지주,"38,150",50,+0.13%,"5,000","197,083","516,600",61.09,"1,387,087",5.06,8.20,
20,카카오뱅크,"41,000","1,350",+3.40%,"5,000","194,815","475,159",15.09,"2,092,868",132.69,5.08,
21,카카오페이,"126,000","2,000",-1.56%,500,"166,173","131,883",42.66,"415,185",-626.87,-17.97,
22,SK,"218,500","8,500",+4.05%,200,"162,016","74,149",21.80,"268,361",25.53,1.11,
23,LG생활건강,"975,000","27,000",+2.85%,"5,000","152,277","15,618",42.61,"112,059",20.29,17.92,
24,하나금융지주,"45,000",900,+2.04%,"5,000","135,109","300,242",69.40,"1,346,988",4.20,8.96,
25,크래프톤,"274,500","10,500",+3.98%,100,"134,428","48,972",29.74,"776,736",21.52,61.86,
26,삼성전기,"178,000","6,500",+3.79%,"5,000","132,955","74,694",30.00,"702,014",13.68,10.92,
27,한국전력,"20,600",500,+2.49%,"5,000","132,245","641,964",14.39,"1,188,519",-12.14,2.91,
28,SK바이오사이언스,"165,000","4,000",+2.48%,500,"126,225","76,500",5.83,"546,915",63.53,13.25,
29,SK텔레콤,"56,400",900,+1.62%,100,"123,422","218,833",44.88,"973,594",8.75,6.44,
30,삼성생명,"60,400",700,+1.17%,500,"120,800","200,000",12.63,"308,338",7.72,3.53,
31,엔씨소프트,"536,000",0,0.00%,500,"117,674","21,954",43.54,"229,412",33.09,20.83,
32,LG,"74,000","1,800",+2.49%,"5,000","116,403","157,301",36.23,"389,084",4.88,7.50,
33,삼성에스디에스,"140,500","2,500",+1.81%,500,"108,716","77,378",11.30,"136,979",16.00,6.71,
34,HMM,"21,900",0,0.00%,"5,000","107,100","489,039",10.46,"3,052,701",2.76,8.93,
35,우리금융지주,"14,650",350,+2.45%,"5,000","106,661","728,061",31.81,"3,061,791",4.48,5.87,
36,KT&G,"77,600",500,+0.65%,"5,000","106,539","137,292",35.96,"563,061",8.95,13.22,
37,S-Oil,"90,000","4,700",+5.51%,"2,500","101,325","112,583",77.94,"546,958",8.66,-13.07,
38,대한항공,"28,300","1,650",+6.19%,"5,000","98,433","347,821",11.76,"2,503,006",13.29,-7.22,
39,하이브,"237,000","4,500",-1.86%,500,"98,008","41,353",16.44,"406,299",84.31,12.52,
40,고려아연,"509,000","9,000",+1.80%,"5,000","96,048","18,870",18.16,"44,528",12.73,8.37,
41,삼성화재,"200,500","1,500",+0.75%,500,"94,987","47,375",48.40,"133,869",8.67,4.96,
42,넷마블,"109,500","1,500",+1.39%,100,"94,119","85,954",22.98,"270,545",40.50,6.35,
43,두산중공업,"17,700",100,-0.56%,"5,000","92,433","522,222",7.33,"3,787,533",52.52,-37.20,
44,아모레퍼시픽,"155,000","5,500",+3.68%,500,"90,664","58,493",29.90,"181,164",59.78,0.78,
45,현대중공업,"99,300","5,900",+6.32%,"5,000","88,152","88,773",2.25,"164,236",-10.84,-7.86,
46,포스코케미칼,"110,500","2,500",+2.31%,500,"85,597","77,463",6.52,"712,993",61.70,2.96,
47,LG이노텍,"353,500","22,500",+6.80%,"5,000","83,663","23,667",23.32,"815,311",11.20,10.20,
48,SK아이이테크놀로지,"115,000","12,000",-9.45%,"1,000","81,992","71,298",10.83,"1,825,078",75.61,11.00,
49,KT,"31,250",450,+1.46%,"5,000","81,597","261,112",38.85,"818,376",7.98,4.76,
50,SK스퀘어,"55,000",200,+0.36%,100,"77,807","141,468",37.44,"2,716,799",N/A,N/A,
51,기업은행,"10,350",150,+1.47%,"5,000","77,035","744,301",13.27,"1,151,663",3.83,6.44,
52,LG디스플레이,"19,700",400,+2.07%,"5,000","70,490","357,816",18.27,"5,425,193",4.46,-0.79,
53,롯데케미칼,"195,000","3,500",+1.83%,"5,000","66,837","34,275",25.17,"119,793",4.91,1.22,
54,F&F,"818,000","31,000",+3.94%,500,"62,670","7,661",14.73,"25,391",N/A,N/A,
55,에스디바이오센서,"60,500","5,500",+10.00%,500,"62,479","103,271",9.91,"5,476,506",9.17,139.97,
56,한화솔루션,"32,250",700,+2.22%,"5,000","61,687","191,278",18.41,"920,696",8.24,5.30,
57,현대글로비스,"162,500","1,000",+0.62%,500,"60,938","37,500",42.80,"119,880",8.76,12.45,
58,SK바이오팜,"75,800","2,600",+3.55%,500,"59,361","78,313",5.98,"188,221",-146.90,-135.18,
59,메리츠금융지주,"43,500","1,250",-2.79%,500,"58,295","134,011",9.05,"626,629",8.19,16.06,
60,한온시스템,"10,650",350,+3.40%,100,"56,850","533,800",17.53,"1,012,576",19.43,5.09,
61,LG유플러스,"12,950",250,+1.97%,"5,000","56,541","436,611",35.50,"1,388,690",14.40,6.46,
