,index,rating,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count
0,0,3.76,26.0,8.0,10.0,1.0,9.0
1,1,3.45,2269.0,1027.0,1118.0,644.0,1077.0
2,2,3.57,5.0,4.0,2.0,0.0,3.0
3,3,4.03,295.0,119.0,87.0,42.0,36.0
4,4,3.1,6.0,4.0,2.0,2.0,6.0
5,5,5.0,1.0,0.0,0.0,0.0,0.0
6,6,3.84,3172.0,1352.0,971.0,490.0,757.0
7,7,3.76,120.0,56.0,61.0,18.0,31.0
8,8,3.47,6.0,2.0,3.0,1.0,3.0
9,9,3.6,287.0,128.0,92.0,68.0,112.0
10,10,3.46,245.0,101.0,81.0,61.0,125.0
11,11,3.31,3.0,4.0,3.0,0.0,3.0
12,12,3.45,49.0,29.0,24.0,14.0,25.0
13,13,3.32,36.0,24.0,23.0,19.0,19.0
14,14,3.65,984.0,481.0,459.0,206.0,327.0
15,15,3.92,204.0,94.0,62.0,21.0,45.0
16,16,3.72,840.0,435.0,386.0,158.0,239.0
17,17,3.83,8290.0,3483.0,2951.0,1410.0,1846.0
18,18,3.82,2456.0,1162.0,853.0,431.0,577.0
19,19,3.67,87.0,36.0,49.0,17.0,25.0
20,20,3.84,506.0,274.0,216.0,81.0,106.0
21,21,3.6,1437.0,632.0,610.0,358.0,515.0
22,22,3.38,27.0,11.0,11.0,8.0,15.0
23,23,3.67,213.0,98.0,85.0,45.0,69.0
24,24,3.75,290.0,145.0,104.0,61.0,78.0
25,25,4.15,323.0,116.0,58.0,28.0,42.0
26,26,4.03,105.0,48.0,39.0,12.0,12.0
27,27,4.29,1781.0,628.0,374.0,104.0,109.0
28,28,4.25,7.0,3.0,1.0,0.0,1.0
29,29,4.06,156.0,70.0,34.0,18.0,23.0
30,30,4.06,17.0,4.0,6.0,3.0,1.0
31,31,4.37,137.0,42.0,24.0,9.0,5.0
32,32,3.81,215.0,76.0,65.0,29.0,58.0
33,33,3.44,418.0,187.0,201.0,133.0,197.0
34,34,3.8,555.0,240.0,211.0,87.0,138.0
35,35,4.16,162.0,47.0,34.0,10.0,21.0
36,36,2.75,2.0,0.0,3.0,0.0,3.0
37,37,4.06,365.0,109.0,73.0,33.0,63.0
38,38,3.83,3.0,1.0,1.0,0.0,1.0
39,39,4.16,82.0,27.0,10.0,7.0,12.0
40,40,4.26,3111.0,1172.0,650.0,204.0,222.0
41,41,1.5,0.0,0.0,0.0,1.0,1.0
42,42,3.79,11.0,6.0,2.0,1.0,4.0
43,43,3.53,22.0,11.0,12.0,4.0,10.0
44,44,3.82,1467.0,607.0,558.0,241.0,335.0
45,45,3.28,11.0,4.0,11.0,4.0,6.0
46,46,3.0,0.0,2.0,0.0,0.0,1.0
47,47,4.03,451.0,165.0,120.0,51.0,68.0
48,48,3.18,535.0,289.0,344.0,189.0,426.0
49,49,3.8,28.0,11.0,12.0,2.0,8.0
50,50,3.43,5.0,3.0,2.0,1.0,3.0
51,51,4.19,171.0,71.0,35.0,12.0,18.0
52,52,3.8,3.0,0.0,1.0,0.0,1.0
53,53,3.38,15.0,3.0,9.0,1.0,9.0
54,54,4.03,464.0,178.0,126.0,52.0,69.0
55,55,3.5,349.0,171.0,173.0,88.0,157.0
56,56,3.56,22.0,8.0,9.0,3.0,10.0
57,57,4.06,400.0,142.0,103.0,45.0,53.0
58,58,4.0,5.0,0.0,1.0,2.0,0.0
59,59,4.13,120.0,37.0,31.0,8.0,15.0
60,60,4.0,3.0,0.0,0.0,0.0,1.0
61,61,5.0,2.0,0.0,0.0,0.0,0.0
62,62,3.1,6.0,4.0,2.0,2.0,6.0
63,63,3.91,100.0,41.0,34.0,17.0,17.0
64,64,3.72,447.0,201.0,135.0,81.0,144.0
65,65,2.71,1.0,1.0,2.0,1.0,2.0
66,66,3.81,84.0,40.0,28.0,14.0,21.0
67,67,3.47,11.0,6.0,5.0,7.0,3.0
68,68,3.93,823.0,340.0,250.0,89.0,168.0
69,69,3.41,73.0,49.0,23.0,25.0,42.0
70,70,3.74,24.0,5.0,6.0,6.0,6.0
71,71,3.93,659.0,255.0,199.0,101.0,117.0
72,72,3.82,1220.0,433.0,365.0,203.0,299.0
73,73,3.46,20.0,7.0,8.0,6.0,9.0
74,74,5.0,,,,,
75,75,4.5,2.0,2.0,0.0,0.0,0.0
76,76,4.26,30.0,14.0,5.0,1.0,3.0
77,77,4.24,644.0,183.0,114.0,38.0,66.0
78,78,3.56,6.0,5.0,0.0,2.0,3.0
79,79,4.22,1162.0,488.0,212.0,83.0,110.0
80,80,3.42,144.0,57.0,60.0,35.0,77.0
81,81,4.0,1.0,2.0,1.0,0.0,0.0
82,82,3.64,867.0,298.0,299.0,151.0,318.0
83,83,3.08,4.0,2.0,2.0,1.0,4.0
84,84,4.41,11548.0,3191.0,1632.0,507.0,566.0
85,85,3.7,593.0,278.0,232.0,124.0,177.0
86,86,3.81,163.0,63.0,48.0,21.0,46.0
87,87,4.0,2054.0,774.0,576.0,242.0,329.0
88,88,3.94,189.0,76.0,67.0,21.0,34.0
89,89,4.07,1635.0,642.0,392.0,177.0,224.0
